frame,time_sec,a1_eye_state,a2_pupil_position,a3_driving_status,a4_head_rotation,a5_head_front_tilt,a6_head_side_tilt,yaw_deg,pitch_deg,roll_deg,ear,blink_rate_per_min
21394,1074.666,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.25,176.71,-5.24,0.233,64.0
21395,1074.716,eyeOpen,center,distracted,center,extremeFrontTilt,straight,12.04,177.07,-4.95,0.231,64.0
21396,1074.766,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.61,176.99,-4.94,0.231,64.0
21397,1074.816,eyeOpen,center,distracted,center,extremeFrontTilt,straight,10.41,177.02,-4.9,0.23,64.0
21398,1074.866,eyeOpen,center,distracted,center,extremeFrontTilt,straight,10.45,176.86,-4.93,0.231,64.0
21399,1074.917,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.89,177.47,-4.87,0.229,64.0
21400,1074.967,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.99,177.35,-5.04,0.226,63.0
21401,1075.017,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.8,177.37,-5.04,0.225,63.0
21402,1075.067,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.0,177.16,-5.18,0.22,63.0
21403,1075.118,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.11,176.95,-4.96,0.094,63.0
21404,1075.168,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.54,177.27,-4.67,0.063,63.0
21405,1075.218,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.05,177.06,-4.42,0.104,63.0
21406,1075.268,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.07,177.2,-4.56,0.162,63.0
21407,1075.319,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.25,177.18,-4.35,0.193,62.0
21408,1075.369,eyeClosed,center,distracted,center,extremeFrontTilt,straight,5.21,177.55,-3.96,0.196,62.0
21409,1075.419,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.54,177.77,-3.86,0.21,62.0
21410,1075.469,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.4,177.96,-3.61,0.208,62.0
21411,1075.519,eyeClosed,center,distracted,center,extremeFrontTilt,straight,3.79,177.85,-3.52,0.213,62.0
21412,1075.57,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.47,177.67,-3.52,0.223,62.0
21413,1075.62,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.8,177.54,-3.55,0.229,62.0
21414,1075.67,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.43,177.63,-3.58,0.233,63.0
21415,1075.72,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.26,177.72,-3.66,0.238,63.0
21416,1075.771,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.46,177.57,-3.23,0.236,63.0
21417,1075.821,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.56,177.05,-3.49,0.232,62.0
21418,1075.871,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.04,176.86,-3.71,0.231,62.0
21419,1075.921,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.86,176.83,-3.86,0.231,62.0
21420,1075.972,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.62,177.07,-4.0,0.232,62.0
21421,1076.022,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.85,176.92,-4.02,0.23,62.0
21422,1076.072,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.02,177.24,-4.3,0.218,62.0
21423,1076.122,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.7,177.23,-4.42,0.119,62.0
21424,1076.173,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.77,177.34,-4.42,0.071,62.0
21425,1076.223,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.07,176.62,-4.7,0.108,62.0
21426,1076.273,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.32,176.01,-5.51,0.174,62.0
21427,1076.323,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.07,176.59,-5.22,0.186,62.0
